 Line # , First Name , Second Name , Field Position , Mobile Number 
1,Theo,Velazquez,Mid Field,859716236
2,Malika,Brock,Goal Keeper,858142110
3,Richard,Goddard,Corner Back,869928347
4,Brandon,Hart,Corner Forward,852699195
5,Rhyley,Hendricks,Mid Field,862040199
6,Beau,Morgan,Corner Forward,862482718
7,Theodore,Broadhurst,Mid Field,863685988
8,Haroon,Hansen,Corner Back,865415238
9,Jade,Webster,Goal Keeper,877941957
10,Chante,Mendoza,Mid Field,853364987
11,Karan,Leigh,Goal Keeper,863751785
12,Kye,Legge,Corner Back,879661565
13,Melissa,Sweet,Corner Forward,875026749
14,Montana,Rose,Mid Field,867745862
15,Grayson,Holman,Corner Forward,851479823
16,Nayan,Gough,Mid Field,878436676
17,Ivan,Marshall,Corner Back,852826788
18,Casper,Harrington,Goal Keeper,861150739
19,Kris,Reeve,Full Forward,877458972
20,Alya,Beltran, Field Position ,870375550
21,Juliet,Farley,Mid Field,875254063
22,Marcos,Zimmerman,Goal Keeper,864849276
23,Kurt,Moyer,Corner Back,861329481
24,Archer,Stubbs,Corner Forward,874746463
25,Sarah-Jane,Dawe,Mid Field,854105474
26,Tariq,Solis,Corner Forward,851766693
27,Simone,Joyner,Mid Field,870339952
28,Billy-Joe,Simon,Corner Back,853794515
29,Jaylen,Galvan,Goal Keeper,874683405
30,Sheldon,Horton, Field Position ,853618043
31,Danica,Macleod,Mid Field,860251363
32,Leo,Bowes,Goal Keeper,868272241
33,Tyreese,Parry,Corner Back,871096741
34,Eleri,Mccaffrey,Corner Forward,864701869
35,Abdirahman,Zavala,Mid Field,864852008
36,Walter,Swan,Corner Forward,873067168
37,Shakeel,Sharples,Mid Field,853477526
38,Sheila,Henry,Corner Back,866220266
39,Sameera,Parker,Goal Keeper,857278024
40,Ayman,Joyce,Mid Field,859341500
